paso,cooperacion_global,E,P,O,A,R
0,0.47,0.15,0.12,0.22,0.11,0.4
1,0.46,0.15,0.12,0.22,0.11,0.4
2,0.44,0.15,0.12,0.22,0.11,0.4
3,0.38,0.18,0.09,0.26,0.11,0.36
4,0.42,0.18,0.09,0.28,0.09,0.36
5,0.38,0.18,0.08,0.29,0.08,0.37
6,0.32,0.17,0.08,0.29,0.09,0.37
7,0.33,0.15,0.07,0.3,0.11,0.37
8,0.36,0.14,0.08,0.3,0.1,0.38
9,0.34,0.14,0.08,0.32,0.1,0.36
10,0.39,0.14,0.08,0.29,0.11,0.38
11,0.38,0.11,0.09,0.31,0.1,0.39
12,0.31,0.11,0.09,0.31,0.08,0.41
13,0.35,0.09,0.11,0.29,0.08,0.43
14,0.41,0.08,0.11,0.29,0.09,0.43
15,0.43,0.08,0.11,0.3,0.08,0.43
16,0.45,0.07,0.11,0.32,0.08,0.42
17,0.39,0.05,0.11,0.34,0.08,0.42
18,0.42,0.06,0.12,0.33,0.1,0.39
19,0.41,0.06,0.12,0.32,0.11,0.39
20,0.39,0.06,0.14,0.33,0.11,0.36
21,0.46,0.07,0.15,0.35,0.13,0.3
22,0.41,0.09,0.16,0.35,0.13,0.27
23,0.45,0.1,0.17,0.34,0.14,0.25
24,0.44,0.09,0.17,0.36,0.14,0.24
25,0.44,0.1,0.17,0.35,0.16,0.22
26,0.43,0.09,0.17,0.35,0.16,0.23
27,0.41,0.09,0.18,0.32,0.19,0.22
28,0.4,0.09,0.17,0.33,0.2,0.21
29,0.45,0.08,0.17,0.34,0.2,0.21
30,0.47,0.09,0.18,0.34,0.19,0.2
31,0.47,0.09,0.2,0.36,0.15,0.2
32,0.46,0.11,0.19,0.36,0.14,0.2
33,0.41,0.12,0.21,0.35,0.14,0.18
34,0.41,0.12,0.21,0.34,0.15,0.18
35,0.44,0.12,0.23,0.34,0.15,0.16
36,0.45,0.12,0.25,0.34,0.13,0.16
37,0.49,0.12,0.22,0.35,0.15,0.16
38,0.45,0.14,0.23,0.31,0.15,0.17
39,0.44,0.14,0.23,0.32,0.14,0.17
40,0.49,0.15,0.23,0.32,0.13,0.17
41,0.44,0.16,0.24,0.31,0.13,0.16
42,0.44,0.17,0.25,0.31,0.12,0.15
43,0.42,0.16,0.26,0.32,0.1,0.16
44,0.43,0.15,0.26,0.32,0.12,0.15
45,0.47,0.14,0.28,0.32,0.12,0.14
46,0.44,0.15,0.26,0.29,0.13,0.17
47,0.48,0.15,0.26,0.28,0.14,0.17
48,0.51,0.17,0.24,0.3,0.14,0.15
49,0.47,0.18,0.23,0.3,0.12,0.17
50,0.52,0.2,0.19,0.31,0.13,0.17
51,0.52,0.21,0.19,0.32,0.13,0.15
52,0.51,0.21,0.19,0.32,0.13,0.15
53,0.54,0.22,0.19,0.3,0.14,0.15
54,0.52,0.26,0.16,0.31,0.14,0.13
55,0.5,0.28,0.16,0.3,0.14,0.12
56,0.52,0.29,0.16,0.29,0.14,0.12
57,0.51,0.29,0.17,0.28,0.14,0.12
58,0.5,0.29,0.18,0.27,0.14,0.12
59,0.47,0.29,0.17,0.28,0.14,0.12
60,0.47,0.28,0.17,0.28,0.14,0.13
61,0.46,0.29,0.16,0.27,0.15,0.13
62,0.48,0.27,0.14,0.29,0.16,0.14
63,0.53,0.27,0.15,0.29,0.16,0.13
64,0.52,0.25,0.15,0.29,0.17,0.14
65,0.51,0.24,0.15,0.29,0.18,0.14
66,0.55,0.23,0.15,0.31,0.18,0.13
67,0.56,0.22,0.16,0.29,0.19,0.14
68,0.55,0.2,0.17,0.3,0.2,0.13
69,0.57,0.2,0.17,0.29,0.21,0.13
70,0.58,0.19,0.2,0.27,0.21,0.13
71,0.56,0.19,0.2,0.28,0.22,0.11
72,0.56,0.17,0.2,0.31,0.22,0.1
73,0.58,0.17,0.18,0.33,0.22,0.1
74,0.64,0.18,0.16,0.34,0.23,0.09
75,0.65,0.19,0.16,0.33,0.23,0.09
76,0.6,0.18,0.18,0.33,0.22,0.09
77,0.58,0.17,0.18,0.33,0.22,0.1
78,0.57,0.17,0.18,0.34,0.21,0.1
79,0.64,0.15,0.19,0.35,0.21,0.1
80,0.62,0.15,0.19,0.34,0.22,0.1
81,0.59,0.14,0.17,0.36,0.22,0.11
82,0.64,0.11,0.2,0.35,0.23,0.11
83,0.63,0.11,0.2,0.35,0.23,0.11
84,0.63,0.1,0.2,0.34,0.25,0.11
85,0.65,0.08,0.24,0.33,0.25,0.1
86,0.62,0.07,0.23,0.34,0.25,0.11
87,0.65,0.03,0.26,0.34,0.26,0.11
88,0.62,0.03,0.27,0.34,0.26,0.1
89,0.66,0.03,0.27,0.32,0.27,0.11
90,0.64,0.03,0.27,0.31,0.28,0.11
91,0.66,0.03,0.27,0.3,0.28,0.12
92,0.66,0.03,0.24,0.33,0.28,0.12
93,0.7,0.03,0.24,0.34,0.28,0.11
94,0.68,0.04,0.23,0.34,0.28,0.11
95,0.68,0.04,0.22,0.36,0.27,0.11
96,0.68,0.04,0.22,0.37,0.27,0.1
97,0.69,0.05,0.18,0.38,0.28,0.11
98,0.7,0.04,0.2,0.37,0.29,0.1
99,0.73,0.04,0.18,0.38,0.3,0.1
