paso,cooperacion_global,E,P,O,A,R
0,0.49,0.32,0.22,0.11,0.17,0.18
1,0.46,0.32,0.22,0.11,0.17,0.18
2,0.5,0.32,0.22,0.11,0.17,0.18
3,0.5,0.34,0.18,0.14,0.14,0.2
4,0.43,0.36,0.16,0.16,0.13,0.19
5,0.38,0.36,0.16,0.2,0.12,0.16
6,0.34,0.37,0.16,0.2,0.12,0.15
7,0.36,0.3,0.18,0.25,0.12,0.15
8,0.36,0.31,0.18,0.26,0.1,0.15
9,0.37,0.32,0.18,0.22,0.11,0.17
10,0.37,0.34,0.14,0.21,0.11,0.2
11,0.4,0.34,0.14,0.21,0.11,0.2
12,0.37,0.35,0.14,0.21,0.1,0.2
13,0.36,0.35,0.15,0.2,0.11,0.19
14,0.36,0.36,0.15,0.19,0.11,0.19
15,0.39,0.36,0.15,0.18,0.11,0.2
16,0.34,0.35,0.14,0.2,0.12,0.19
17,0.33,0.33,0.12,0.25,0.11,0.19
18,0.3,0.31,0.14,0.24,0.11,0.2
19,0.33,0.31,0.16,0.23,0.11,0.19
20,0.39,0.31,0.15,0.22,0.13,0.19
21,0.34,0.34,0.16,0.19,0.12,0.19
22,0.42,0.34,0.16,0.19,0.12,0.19
23,0.38,0.3,0.17,0.2,0.13,0.2
24,0.4,0.32,0.16,0.21,0.12,0.19
25,0.38,0.31,0.15,0.23,0.12,0.19
26,0.39,0.31,0.13,0.22,0.13,0.21
27,0.35,0.35,0.13,0.2,0.12,0.2
28,0.35,0.36,0.13,0.2,0.11,0.2
29,0.33,0.39,0.14,0.17,0.11,0.19
30,0.34,0.39,0.12,0.18,0.12,0.19
31,0.33,0.34,0.14,0.19,0.12,0.21
32,0.34,0.31,0.14,0.18,0.14,0.23
33,0.4,0.3,0.14,0.18,0.15,0.23
34,0.41,0.29,0.15,0.17,0.16,0.23
35,0.44,0.31,0.13,0.17,0.15,0.24
36,0.39,0.31,0.15,0.16,0.14,0.24
37,0.46,0.32,0.15,0.16,0.14,0.23
38,0.42,0.34,0.15,0.15,0.13,0.23
39,0.42,0.32,0.15,0.19,0.11,0.23
40,0.36,0.34,0.15,0.19,0.11,0.21
41,0.33,0.34,0.14,0.19,0.1,0.23
42,0.3,0.33,0.17,0.18,0.09,0.23
43,0.4,0.32,0.18,0.19,0.1,0.21
44,0.35,0.32,0.18,0.19,0.1,0.21
45,0.39,0.3,0.18,0.2,0.11,0.21
46,0.36,0.29,0.19,0.2,0.11,0.21
47,0.37,0.29,0.19,0.19,0.13,0.2
48,0.44,0.3,0.19,0.19,0.13,0.19
49,0.4,0.28,0.18,0.2,0.13,0.21
50,0.45,0.28,0.19,0.21,0.12,0.2
51,0.44,0.3,0.19,0.21,0.12,0.18
52,0.43,0.29,0.21,0.21,0.13,0.16
53,0.44,0.31,0.22,0.21,0.13,0.13
54,0.39,0.33,0.2,0.22,0.12,0.13
55,0.4,0.34,0.2,0.23,0.12,0.11
56,0.38,0.35,0.18,0.23,0.12,0.12
57,0.4,0.34,0.19,0.22,0.13,0.12
58,0.39,0.35,0.17,0.24,0.11,0.13
59,0.42,0.34,0.18,0.25,0.11,0.12
60,0.41,0.33,0.2,0.25,0.11,0.11
61,0.43,0.33,0.2,0.26,0.11,0.1
62,0.43,0.34,0.2,0.25,0.11,0.1
63,0.42,0.33,0.21,0.24,0.12,0.1
64,0.38,0.32,0.21,0.25,0.12,0.1
65,0.42,0.31,0.21,0.25,0.13,0.1
66,0.42,0.31,0.21,0.25,0.13,0.1
67,0.4,0.32,0.2,0.26,0.12,0.1
68,0.43,0.34,0.16,0.28,0.11,0.11
69,0.46,0.31,0.17,0.3,0.11,0.11
70,0.43,0.29,0.16,0.31,0.11,0.13
71,0.48,0.29,0.14,0.31,0.11,0.15
72,0.49,0.27,0.16,0.3,0.11,0.16
73,0.45,0.25,0.15,0.31,0.13,0.16
74,0.53,0.25,0.17,0.3,0.14,0.14
75,0.52,0.26,0.16,0.3,0.16,0.12
76,0.53,0.27,0.17,0.3,0.14,0.12
77,0.51,0.28,0.19,0.31,0.13,0.09
78,0.48,0.29,0.2,0.3,0.13,0.08
79,0.5,0.27,0.22,0.3,0.11,0.1
80,0.49,0.26,0.2,0.34,0.11,0.09
81,0.51,0.26,0.22,0.34,0.11,0.07
82,0.46,0.25,0.25,0.34,0.09,0.07
83,0.46,0.25,0.25,0.35,0.09,0.06
84,0.47,0.25,0.26,0.35,0.09,0.05
85,0.46,0.25,0.25,0.36,0.09,0.05
86,0.48,0.26,0.23,0.36,0.09,0.06
87,0.47,0.24,0.25,0.38,0.08,0.05
88,0.48,0.24,0.24,0.39,0.07,0.06
89,0.48,0.24,0.25,0.38,0.07,0.06
90,0.49,0.25,0.27,0.36,0.07,0.05
91,0.45,0.27,0.24,0.38,0.05,0.06
92,0.44,0.28,0.23,0.38,0.05,0.06
93,0.46,0.28,0.23,0.38,0.05,0.06
94,0.48,0.27,0.23,0.38,0.06,0.06
95,0.45,0.28,0.24,0.36,0.06,0.06
96,0.45,0.27,0.25,0.37,0.05,0.06
97,0.46,0.28,0.23,0.38,0.05,0.06
98,0.45,0.26,0.23,0.4,0.07,0.04
99,0.5,0.26,0.2,0.42,0.08,0.04
